,production_companies,release_year,revenue
316,WingNut Films,2003,1118888979
317,WingNut Films,2002,926287400
318,Legendary Pictures,2014,114178613
319,Paramount Pictures,2001,274703340
320,Alcon Entertainment,2014,103039258
321,Universal Studios,2001,368780809
322,Ingenious Film Partners,2011,482860185
323,Paramount Pictures,2008,162839667
324,Ingenious Media,2013,304654182
325,Imagine Entertainment,2004,25819961
326,Walt Disney Pictures,2004,631442092
327,Le Studio Canal+,1995,10017322
328,Ingenious Film Partners,2010,226497209
329,Amblin Entertainment,1997,589390539
330,Pixar Animation Studios,1999,497366869
331,Twentieth Century Fox Film Corporation,2010,167805466
332,New Line Cinema,2001,347325802
333,DreamWorks SKG,2000,155464351
334,Columbia Pictures,2009,242988466
335,Blue Sky Studios,2009,886686817
336,New Line Cinema,2013,188133322
337,Columbia Pictures,2000,264105545
338,Vertigo Entertainment,2006,289847354
339,Walt Disney Pictures,1998,304320254
340,DreamWorks SKG,2008,188072649
341,Columbia Pictures,2011,232617430
342,Twentieth Century Fox Film Corporation,1995,366101666
343,Village Roadshow Pictures,2009,524028679
344,Paramount Pictures,2016,94061311
345,Walt Disney Pictures,2001,186053725
346,United Artists,2008,200276000
347,Columbia Pictures,2008,201596308
348,Columbia Pictures,2015,243637091
349,DreamWorks SKG,2001,235926552
350,Walt Disney Pictures,2003,182290266
351,Warner Bros.,1997,171120329
352,Columbia Pictures Corporation,2000,190213455
353,Universal Pictures,2005,162944923
354,1492 Pictures,2013,174578751
355,Paramount Pictures,2003,156505388
356,Summit Entertainment,2016,334901337
357,Paramount Pictures,1997,118063304
358,Universal Pictures,2001,143049560
359,Spyglass Entertainment,2000,60874615
360,Blue Sky Studios,2011,484635760
361,Laurence Mark Productions,1999,93700000
362,Columbia Pictures,1997,140807547
363,Paramount Pictures,2002,35168966
364,Universal Pictures,1982,79114085
365,Miramax Films,2005,108539911
366,Vnesheconombank,2010,16178959
367,Universal Pictures,2003,148336445
368,Universal Pictures,1996,494471524
369,DreamWorks SKG,2000,429632142
370,Kennedy Miller Productions,2006,384335608
371,Universal Pictures,2004,288500217
372,Columbia Pictures Corporation,1997,315156409
373,Village Roadshow Pictures,2001,450717150
374,Impact Pictures,2011,132274484
375,Columbia Pictures,2012,358375603
376,Walt Disney Pictures,2007,340487652
377,Universal Pictures,2012,208076205
378,Walt Disney Pictures,2000,183611771
379,Universal Pictures,2011,152930623
380,Columbia Pictures,2006,194168700
381,Jerry Bruckheimer Films,1998,250649836
382,Universal Pictures,2009,219103655
383,Village Roadshow Pictures,2007,311312624
384,Sony Pictures Animation,2006,197309027
385,Summit Entertainment,2014,288747895
386,Paramount Pictures,2001,96976270
387,Columbia Pictures,2003,80916492
388,Columbia Pictures Corporation,1993,137298489
389,DreamWorks SKG,2005,162242962
390,Universal Pictures,2006,158468292
391,Universal Pictures,1998,142940100
392,David Foster Productions,2002,78382433
393,Relativity Media,2012,183018522
394,Universal Pictures,2010,47664559
395,Paramount Pictures,2003,74208267
396,Imagine Entertainment,2000,123307945
397,Atlas Entertainment,2002,275650703
398,DNA Films,2012,41037742
399,Original Film,2006,237681299
400,Warner Bros.,1982,21028755
401,Village Roadshow Pictures,2010,112483764
402,Dune Entertainment,2008,222231186
