,production_companies,release_year,revenue
1462,Alcon Entertainment,2004,12
1463,HW Two,2011,13521829
1464,Miramax Films,2005,18618284
1465,Infinity Features Entertainment,2009,64352607
1466,Serendipity Point Films,2010,8454301
1467,Double Feature Films,2013,62616646
1468,Industry Entertainment,2001,18195610
1469,TriStar Pictures,1989,26828365
1470,Impact Pictures,2006,480314
1471,Plan B Entertainment,2007,14711793
1472,Mpower Pictures,2011,2527904
1473,Columbia Pictures,2016,140752617
1474,Universal Pictures,2015,287506194
1475,Tree Line Films,2005,186438883
1476,Spyglass Entertainment,2000,37036004
1477,Miramax Films,2002,33013805
1478,Paramount Pictures,2002,16930185
1479,Universal Pictures,2016,78636257
1480,Rogue Pictures,2004,24829644
1481,Section Eight,2005,21126225
1482,Walt Disney Pictures,1992,504050219
1483,New Line Cinema,2015,201634991
1484,Lucasfilm,1984,333000000
1485,Nickelodeon Movies,1998,100491683
1486,Paramount Pictures,2001,105178561
1487,BBC Films,2016,48902953
1488,Columbia Pictures Corporation,2003,98185582
1489,Twentieth Century Fox Film Corporation,1988,140767956
1490,Universal Pictures,2008,92380927
1491,Paramount Pictures,2015,133346506
1492,Walt Disney,2004,64445708
1493,New Amsterdam Entertainment,2004,102356381
1494,Columbia Pictures Corporation,2001,94728529
1495,Touchstone Pictures,2001,71441250
1496,Konrad Pictures,2003,90259536
1497,Laurence Mark Productions,2013,134402450
1498,United Artists,1981,195312802
1499,Miramax Films,2001,77516304
1500,Universal Pictures,1994,101646581
1501,Paramount Pictures,2001,60780981
1502,Temple Hill Productions,2013,97594140
1503,Walt Disney Pictures,1993,39514713
1504,Village Roadshow Pictures,2007,92601050
1505,Lionsgate,2010,96188903
1506,Columbia Pictures,2011,40547440
1507,Neo Art & Logic,2000,33000337
1508,Walt Disney Pictures,2014,100654149
1509,Universal Pictures,2005,121147947
1510,Shaw Brothers,1982,33139618
1511,United Artists,1995,31596911
1512,Wonderland Sound and Vision,2014,52597999
1513,Columbia Pictures,2007,54926886
1514,Regency Enterprises,2006,38159905
1515,Hollywood Pictures,1999,8888143
1516,Robert Simonds Productions,2010,45236543
1517,Universal Pictures,1997,8345056
1518,Screen Gems,2001,14010832
1519,Participant Media,2015,7002261
1520,Lionsgate,2016,16374328
1521,Touchstone Pictures,1997,5684789
1522,UK Film Council,2008,17286299
1523,Universal Pictures,2013,60700000
1524,Canal+,2014,68896829
1525,Eon Productions,1983,187500000
1526,Universal Pictures,2007,219076518
1527,Mark Johnson Productions,2009,95714875
1528,Universal Pictures,2008,43650785
1529,Columbia Pictures,1984,27187653
1530,Fox Searchlight Pictures,2006,49469904
1531,Anonymous Content,2007,24748670
1532,Paramount Pictures,1991,96900000
1533,Paramount Pictures,1997,60527873
1534,Universal Pictures,1980,115229890
1535,Fox 2000 Pictures,2002,129000000
1536,The Weinstein Company,1999,56870414
1537,Warner Bros.,2006,56308881
1538,Columbia Pictures,1983,21500000
1539,Producers Sales Organization,2011,15395087
1540,New Line Cinema,1984,20158808
1541,Silver Screen Partners II,1998,27200316
1542,Twentieth Century Fox Film Corporation,1985,11137801
1543,Paramount Vantage,1998,76000000
1544,Paramount Pictures,2009,29000000
1545,Dimension Films,2004,13000000
1546,TriStar Pictures,2011,85564310
1547,Film Council,2016,93282604
1548,Avenue Pictures Productions,2001,14
1549,2929 Productions,2004,21148829
1550,Columbia Pictures,2008,6673422
1551,Walt Disney Pictures,2009,183293131
1552,Universal Pictures,2003,110230332
1553,Miramax Films,2005,109449237
1554,Double Feature Films,1998,289317794
1555,Imagine Entertainment,2014,53181600
1556,Columbia Pictures,1990,201957688
1557,Twentieth Century Fox Film Corporation,2008,101624843
1558,Tig Productions,1998,65705772
1559,Columbia Pictures Corporation,2003,68296293
1560,United Artists,1990,61489265
1561,DreamWorks SKG,1977,50750000
1562,New Line Cinema,2005,57891803
1563,Universal Pictures,2003,90426405
1564,Bold Films,2000,71868327
1565,Paramount Pictures,2010,67918658
1566,Paramount Pictures,2013,86175291
1567,Lionsgate,2002,38793283
1568,Splendid Pictures,2009,43318349
1569,New Line Cinema,2004,28818995
1570,MetroGoldwynMayer (MGM),2011,142044638
1571,Relativity Media,2001,35402320
1572,Twentieth Century Fox Film Corporation,2012,29657751
1573,TransFilm,2004,14000000
1574,Universal Pictures,1994,36800000
1575,Endgame Entertainment,1996,20080020
1576,Studio Babelsberg,2015,30523226
1577,Icon Productions,2005,82466670
1578,Twentieth Century Fox Film Corporation,2004,611899420
1579,United Artists,1993,441286195
1580,Village Roadshow Pictures,1988,412800000
1581,Ixtlan Productions,2008,269958228
1582,Twentieth Century Fox Film Corporation,2008,29506464
1583,Relativity Media,2008,226830568
1584,Tig Productions,2014,35926213
1585,Universal Pictures,1992,411006740
1586,DreamWorks SKG,1993,321365567
1587,DreamWorks SKG,2011,124272124
1588,New Line Cinema,2013,8555008
1589,Nickelodeon Movies,2003,114908830
1590,Paramount Pictures,2001,80936232
1591,New Line Cinema,2008,170764026
1592,Paramount Pictures,1991,78000000
1593,Miramax Films,1987,76270454
1594,Universal Pictures,2007,171600000
1595,Miramax Films,2014,153997819
1596,Miramax Films,2001,281929795
1597,Type A Films,2000,152500343
1598,Twentieth Century Fox Film Corporation,2003,124914842
1599,Katalyst Films,2012,119772232
1600,Hollywood Pictures,2011,147780440
1601,Silver Pictures,1993,56505065
1602,Twentieth Century Fox Film Corporation,2000,91036760
1603,New Line Cinema,1976,60922980
1604,Village Roadshow Pictures,2006,117719158
1605,Walden Media,2012,99357138
1606,Miramax Films,2007,137587063
1607,Scott Free Productions,2004,116766556
1608,Twentieth Century Fox Film Corporation,2012,77278331
1609,Apatow Productions,2005,122644820
1610,Winkler Films,2004,90574188
1611,Splendid Pictures,1990,46836394
1612,Universal Pictures,2003,58795814
1613,Universal Pictures,2005,122489822
1614,Columbia Pictures,1983,65884703
1615,Universal Pictures,1987,43984230
1616,Miramax Films,2012,63100000
1617,Universal Pictures,2007,77208711
1618,DiNovi Pictures,2002,41604473
1619,Twentieth Century Fox Film Corporation,2005,39053061
1620,Columbia Pictures,2001,64437847
1621,MetroGoldwynMayer (MGM),2008,70442940
1622,Walt Disney Pictures,2005,36351350
1623,The Weinstein Company,2014,38307627
1624,United Artists,2014,66980456
1625,Lionsgate,2003,63102666
1626,Silver Pictures,2007,59192128
1627,Paramount Pictures,2003,56489558
1628,DreamWorks SKG,2002,41597830
1629,Tiger Aspect Productions,2006,33889159
1630,Screen Gems,2007,229736344
1631,Wild Bunch,2004,70992898
1632,Warner Bros.,2013,2415472
1633,Channel Four Films,2007,66122026
1634,Universal Pictures,1998,82150642
1635,Twentieth Century Fox Film Corporation,1998,50671850
1636,Columbia Pictures Corporation,1970,29548291
1637,Twentieth Century Fox Film Corporation,1997,100000000
1638,Castle Rock Entertainment,2011,34942188
1639,Bungalow Productions,1994,28341469
1640,Motion Picture Corporation of America,2001,39438674
1641,Paramount Pictures,1996,25023434
1642,Jean Doumanian Productions,2014,39171130
1643,Walt Disney Pictures,2013,74188937
1644,Mile High Productions,2005,27645491
1645,Studio Babelsberg,2005,42886719
1646,40 Acres & A Mule Filmworks,2016,46152800
1647,New Line Cinema,1998,21567853
1648,Screen Gems,1994,22200000
1649,DC Comics,2010,114977104
1650,Miramax Films,2010,23580000
1651,Mosaic Media Group,2010,36993168
1652,Columbia Pictures,2007,40452643
1653,DreamWorks SKG,2002,17000000
1654,Walt Disney Pictures,2004,20796847
1655,Media Rights Capital,2005,15431177
1656,Paramount Pictures,2009,33333531
1657,Relativity Media,2000,24362772
1658,Regency Enterprises,2010,19829957
1659,Columbia Pictures,2004,30411183
1660,Working Title Films,1996,51702483
1661,Incentive Filmed Entertainment,2015,42972994
1662,Paramount Pictures,2011,10126458
1663,Summit Entertainment,1999,13
1664,Wildwood Enterprises,2014,28831145
1665,Columbia Pictures,2010,15478800
1666,Alcon Entertainment,2005,13411957
1667,Twentieth Century Fox Film Corporation,2015,24902723
1668,Solaris Film,1986,11000000
1669,Geffen Pictures,2011,23057115
1670,Paramount Pictures,1996,16900000
1671,Paramount Pictures,2008,11207130
1672,Twentieth Century Fox Film Corporation,2002,10719357
1673,Ghost House Pictures,1999,13000000
1674,TriStar Pictures,2012,85446075
1675,Battleplan Productions,1996,10070000
1676,Miramax Films,2011,10324441
1677,2929 Productions,2006,11772461
1678,Columbia Pictures Corporation,2009,27635305
1679,Trilogy Entertainment Group,1984,5778353
1680,Rhombus Media,1995,4064495
1681,Boll KG,2008,19844979
1682,Wild Bunch,2005,2405420
1683,CruiseWagner Productions,2011,27603069
1684,Isle of Man Film,1998,777423
1685,Paco Cinematografica,2009,2336172
1686,Saturn Films,2013,19255873
1687,Ingenious Media,2009,10589102
1688,Paramount Pictures,2013,71009334
1689,Lorimar Film Entertainment,1970,3052000
1690,American Zoetrope,1988,34670720
1691,Paramount Pictures,2012,8784318
1692,Columbia Pictures,1986,133000000
1693,Miramax Films,2006,155721132
1694,Handsomecharlie Films,1997,172363301
1695,Will Packer Productions,2016,1397284
1696,Franchise Pictures,2014,70181428
1697,Paramount Pictures,2000,106371651
1698,DreamWorks SKG,1984,80035402
1699,TriStar Pictures,2003,87055349
1700,Columbia Pictures,1991,41895491
1701,MetroGoldwynMayer (MGM),1998,40002112
1702,Blue Askew,2000,36609995
1703,BBC Films,2008,42105111
1704,DreamWorks SKG,2009,68729358
1705,Columbia Pictures,2004,16980098
1706,Universal Pictures,1999,16290976
1707,Bel Air Entertainment,1978,21049053
1708,Touchstone Pictures,2000,12372410
1709,The Weinstein Company,1999,8434146
1710,The Weinstein Company,2011,30551495
1711,Walt Disney Pictures,2010,83188165
1712,Miramax Films,1998,4562146
1713,Castle Rock Entertainment,1993,669276
1714,Columbia Pictures,2010,23081726
1715,Touchstone Pictures,2009,102391382
1716,Lucasfilm,1998,185991646
1717,Columbia Pictures,1980,538400000
1718,Paramount Pictures,1995,141407024
1719,New Line Cinema,1991,86930411
1720,Appian Way,2000,53302314
1721,Interscope Communications,2011,75993061
1722,Warner Bros.,2000,53187659
1723,Regency Enterprises,2013,47351251
1724,Matador Pictures,2001,36642838
1725,Twentieth Century Fox Film Corporation,2013,6399
1726,Irish Film Board,1999,18653615
1727,Universal Pictures,2011,33372606
1728,Columbia Pictures Corporation,1987,51881013
1729,MetroGoldwynMayer (MGM),1999,10827816
1730,Summit Entertainment,1991,7434726
1731,Path Renn Productions,2007,29541790
1732,Alliance Films,2009,9366227
1733,The Weinstein Company,2004,16123851
1734,Brooksfilms Ltd.,2007,94679598
1735,Hopscotch Features,1987,38119483
1736,Paramount Pictures,2014,15520023
1737,Twentieth Century Fox Film Corporation,1990,505000000
1738,Walt Disney Pictures,1998,369884651
1739,Walt Disney Pictures,1994,189833357
1740,Walt Disney Pictures,2002,75597042
1741,Amblin Entertainment,2007,147880543
1742,Revolution Studios,1995,182016617
1743,Columbia Pictures,2001,84772742
1744,Amblin Entertainment,1982,77737889
1745,Columbia Pictures,2014,88880821
1746,New Line Cinema,1995,110627965
1747,Hearst Entertainment Productions,2001,92542418
1748,Lakeshore Entertainment,2014,67800064
1749,Miramax Films,2003,95708457
1750,Section Eight,2005,57479076
1751,Columbia Pictures Corporation,2009,35424826
1752,DreamWorks SKG,2005,22400154
1753,Village Roadshow Pictures,2013,51164106
1754,Fox 2000 Pictures,2001,19351569
1755,Dimension Films,2012,77112176
1756,Original Film,2001,33788161
1757,Universal Pictures,2001,23619609
1758,Millennium Films,2016,63647656
1759,New Line Cinema,2013,43058898
1760,Orion Pictures,2000,13555988
1761,EuropaCorp,1993,10696210
1762,Primate Pictures,2015,72629670
1763,StudioCanal,2012,14400000
1764,Paramount Pictures,2014,15447154
1765,Stone Productions,1977,12000000
1766,Appian Way,2010,9479718
1767,Castle Rock Entertainment,2013,15400000
1768,Gravier Productions,2007,92991835
1769,Malpaso Productions,2012,73244881
1770,Sidney Kimmel Entertainment,1982,70687344
1771,New Line Cinema,2007,46
1772,Paramount Pictures,1993,42000000
1773,The Weinstein Company,2001,40222729
1774,Double Feature Films,2012,205738714
1775,TF1 Films Productions,2007,41170784
1776,Summit Entertainment,2002,43928932
1777,United Artists,2008,41627431
1778,Neal Street Productions,1999,17762705
1779,Touchstone Pictures,2009,14899417
1780,Punch Productions,2008,17600000
1781,Summit Entertainment,2002,10011050
1782,Universal Pictures,2011,970816
1783,Alliance Atlantis Communications,1982,69701637
1784,Lucasfilm,1999,2856712
1785,Twentieth Century Fox Film Corporation,1981,389925971
1786,Columbia Pictures Corporation,1992,358991681
1787,Dimension Films,1977,303788635
1788,Paramount Pictures,2006,29907685
1789,Hyde Park Films,1987,299965036
1790,Orion Pictures,2003,132675402
1791,Paramount Pictures,1991,272742922
1792,MTV Films,1992,121697323
1793,Universal Pictures,2010,117224271
1794,Walt Disney Pictures,1978,187884007
1795,New Line Cinema,2008,149281606
1796,Columbia Pictures,2013,318000141
1797,New Line Cinema,2005,97918663
1798,Paramount Pictures,2014,100525432
1799,New Line Cinema,2003,131282949
1800,Columbia Pictures,1995,122195920
1801,Fox Searchlight Pictures,2004,113086475
1802,Plan B Entertainment,2011,177243185
1803,Fox 2000 Pictures,2013,187000000
1804,Lions Gate Films,2002,57588485
1805,Twentieth Century Fox Film Corporation,2010,60072596
1806,New Line Cinema,1990,53000000
1807,Twentieth Century Fox Film Corporation,2016,207945075
1808,STX Entertainment,1971,41158757
1809,Regency Enterprises,2016,183936074
1810,Walt Disney Pictures,2006,48548426
1811,Plan B Entertainment,2002,109862682
1812,Walt Disney Pictures,2014,66787908
1813,Ghost House Pictures,2003,135680000
1814,TriStar Pictures,2005,67192859
1815,Walt Disney Pictures,2007,84146832
1816,Dark Castle Entertainment,2000,45554533
1817,Sunswept Entertainment,2009,41596251
1818,Twentieth Century Fox Film Corporation,2015,43967255
1819,Universal Pictures,2007,86865564
1820,Screen Gems,2015,88346473
1821,Columbia Pictures Corporation,2008,27640028
1822,Twentieth Century Fox Film Corporation,2006,39143839
1823,Universal Pictures,1998,37672350
1824,Walt Disney Productions,2006,41237648
1825,This Is That Productions,1979,35841901
1826,Q Productions,2010,65464324
1827,Regency Enterprises,1997,60000000
1828,Paramount Vantage,2010,80547866
1829,Spring Creek Productions,2006,135330182
1830,Scott Rudin Productions,2014,41296320
1831,Paramount Pictures,2008,50907234
1832,Nu Image Films,2004,50907422
1833,Dimension Films,2013,47241945
1834,Paramount Pictures,2013,78378744
1835,Focus Features,1969,31678778
1836,Columbia Pictures,2008,54586584
1837,Village Roadshow Pictures,2016,46069568
1838,New Line Cinema,2002,68349884
1839,Columbia Pictures,2011,35387212
1840,Miramax Films,1998,67200000
1841,Buena Vista,2010,45636368
1842,Atlas Entertainment,2000,47126295
1843,Anonymous Content,2008,64822796
1844,Oops Doughnuts Productions,2004,72258126
1845,Fox Searchlight Pictures,2010,32005248
1846,Universal Pictures,2008,65569869
1847,Lionsgate,2013,46089287
1848,DreamWorks SKG,2009,51416464
1849,Dune Entertainment,2010,49779728
1850,Spyglass Entertainment,2011,17425000
1851,Lions Gate Family Entertainment,2006,27105095
1852,Screen Gems,2010,39300000
1853,Warner Bros. Pictures,2006,37597471
1854,The Rank Organisation,2009,28972508
1855,Lionsgate,1995,21284514
1856,New Line Cinema,2016,83707310
1857,Paramount Pictures,2008,20211394
1858,Lionsgate,1960,32000000
1859,Universal Pictures,2008,36620508
1860,Twentieth Century Fox Film Corporation,2014,34077920
1861,Columbia Pictures,1985,18432000
1862,Paramount Vantage,1998,18253415
1863,Dimension Films,2007,22222308
1864,DavisFilms,2007,56255142
1865,A Band Apart,2006,17807569
1866,DreamWorks SKG,2012,52302796
1867,This Is That Productions,1996,25836616
1868,Icon Productions,2007,73276047
1869,MetroGoldwynMayer (MGM),2003,60427839
1870,The Weinstein Company,2004,16605763
1871,George Stevens Productions,2003,17432163
1872,Ingenious Media,2009,17436509
1873,Grosvenor Park Media Ltd.,1965,15473333
1874,Screen Gems,2015,34854990
1875,Regency Enterprises,2008,14109284
1876,Regency Enterprises,2009,22942221
1877,Canal+,1997,13801755
1878,Lakeshore Entertainment,2011,30426096
1879,Gener8Xion Entertainment,2012,32204030
1880,Miramax Films,2009,34560577
1881,Paramount Pictures,2006,13391174
1882,Miramax Films,2002,27674124
1883,The Mark Gordon Company,2005,12482775
1884,Hammer Film Productions,2002,12398628
1885,Worldview Entertainment,2009,17280326
1886,Fine Line Features,2010,24145613
1887,Double Feature Films,2016,12639297
1888,Twentieth Century Fox Film Corporation,1997,10686841
1889,New Line Cinema,2015,36606743
1890,Universal Pictures,2007,16974459
1891,Universal Pictures,2007,10337477
1892,Ghoulardi Film Company,2004,11341016
1893,Screen Gems,1969,20000000
1894,Mpower Pictures,2014,11110975
1895,Open Road Films,2013,16549477
1896,Metanoia Films,2008,7000000
1897,Recorded Pictures Company,2013,15008161
1898,Thousand Words,2015,6420319
1899,Boll Kino Beteiligungs GmbH & Co. KG,2011,27462041
1900,Summit Entertainment,2006,7659918
1901,Participant Media,2005,10442808
1902,Endgame Entertainment,2009,5210988
1903,Summit Entertainment,2014,12007070
1904,The Weinstein Company,2007,4001121
1905,Autonomous,2012,16863583
1906,Paramount Pictures,2008,5530764
1907,Dimension Films,2005,5048693
1908,Plan B Entertainment,2003,1675706
1909,Tig Productions,2002,5359645
1910,Hyde Park Films,2015,3727746
1911,Miramax Films,1994,305070
1912,Grindstone Entertainment Group,2011,4634062
1913,Tig Productions,2010,346594
1914,Columbia Pictures,2013,5496951
1915,Universal Pictures Corporation,1990,424208848
1916,Gaylord Films,2011,216197492
1917,Woods Entertainment,1989,110879513
1918,Hawk Films,2004,70067909
1919,Universal Pictures,1996,173046663
1920,Dark Castle Entertainment,1980,44017374
1921,Mandate Pictures,1985,381109762
1922,Twentieth Century Fox Film Corporation,1999,40846082
1923,Corrino Media Corporation,2010,49830607
1924,Penn Station Entertainment,2003,101564935
1925,Dino De Laurentiis Company,2011,5728213
1926,Summit Entertainment,2010,54956140
1927,Universal Pictures,1984,8613462
1928,Paramount Pictures,2008,18755936
1929,Imagine Entertainment,2010,29922472
1930,Warner Bros. Family Entertainment,1964,4750000
1931,Platinum Dunes,2011,6928068
1932,Beverly Detroit,1993,2119994
1933,Universal Pictures,2005,108047131
1934,Universal Pictures,2002,32801173
1935,Media Rights Capital,2005,46770602
1936,Universal Pictures,1998,10680275
1937,New Line Cinema,2009,31912793
1938,Gracie Films,2014,268157400
1939,Twentieth Century Fox Film Corporation,1994,351583407
1940,Marc Platt Productions,1988,151668774
1941,Paramount Pictures,2006,261572744
1942,Lakeshore Entertainment,2001,141774679
1943,Happy Madison Productions,1984,87000000
1944,Stoney Lake Entertainment,2005,144216468
1945,MetroGoldwynMayer (MGM),1999,65535067
1946,Columbia Pictures,2014,19682924
1947,New Line Cinema,2004,65070412
1948,Universal Pictures,2003,76488889
1949,Fox 2000 Pictures,1997,67683989
1950,Twentieth Century Fox Film Corporation,2016,88923251
1951,Warner Bros.,2011,72417394
1952,Paramount Pictures,1987,98235548
1953,USA Films,1984,51973029
1954,American Zoetrope,2004,129042871
1955,Worldview Entertainment,2001,87754044
1956,Perdido Productions,1986,41382841
1957,Universal Pictures,2014,103215094
1958,Universal Pictures,2013,99206215
1959,AVCO Embassy Pictures,2006,76286096
1960,Mandalay Pictures,2003,62646763
1961,Paramount Pictures,1980,21378361
1962,De Laurentiis Entertainment Group,2011,47088990
1963,United Artists,1970,24911670
1964,Universal Pictures,1984,100000000
1965,Fox Searchlight Pictures,1980,23000000
1966,Columbia Pictures,2009,36133014
1967,Imagine Entertainment,2010,35692920
1968,Fox 2000 Pictures,2000,17200925
1969,Universal Pictures,2015,24000000
1970,ITC Entertainment,2004,16702864
1971,Columbia Pictures,2015,34441873
1972,Cinema 77,1981,2945600
1973,Dark Castle Entertainment,2001,28008462
1974,Fox Searchlight Pictures,1981,12000000
1975,Castle Rock Entertainment,2013,10501938
1976,MetroGoldwynMayer (MGM),1997,8038061
1977,Paramount Pictures,2014,25312387
1978,Touchstone Pictures,1986,6735922
1979,Mr. Mudd Production,1981,14110013
1980,StudioCanal,1994,5887457
1981,Great Scott Productions Pty. Ltd.,2013,20275812
1982,Warner Bros.,2008,25739015
1983,Archer Street Productions,2009,20719451
1984,New Century Entertainment Corporation,2016,6212282
1985,Castle Rock Entertainment,2013,22309223
1986,Exclusive Media Group,1986,3500000
1987,Senator Entertainment Co,2002,676698
1988,Egoli Tossell Film AG,2013,7972967
1989,Dead Films,2008,382174
1990,Famous Films (II),2010,871279
1991,First Generation Films,1985,34000000
1992,Columbia Pictures,1985,6948633
1993,Summit Entertainment,2012,13551174
1994,The Weinstein Company,2007,121463226
1995,Lions Gate Films,2008,150816700
1996,Twentieth Century Fox Film Corporation,2005,51053787
1997,Fox Searchlight Pictures,2004,38000000
1998,Grindstone Entertainment Group,2007,99965753
1999,Twentieth Century Fox Film Corporation,2013,7018189
2000,Warner Bros.,2014,266586800
2001,Columbia Pictures Corporation,1986,183316455
2002,Twentieth Century Fox Film Corporation,1964,72070731
2003,Fox Searchlight Pictures,1997,125586134
2004,Broken Lizard Industries,2014,136621271
2005,Compass International Pictures,2004,109502303
2006,Universal,2006,19179969
2007,Universal Pictures,1978,70000000
2008,Lionsgate,2013,71625195
2009,Paramount Pictures,2006,57103895
2010,CBS Films,2010,136150434
2011,Fox Searchlight Pictures,1998,30331165
2012,Warner Bros.,2011,43165571
2013,Brownstone Productions,2006,69623713
2014,TollinRobbins Productions,2006,21170563
2015,Nu Image Films,2012,115350426
2016,Allied Artists Pictures,2001,19693891
2017,TriStar Pictures,2009,29536299
2018,Fox Searchlight Pictures,1963,10000000
2019,Universal Pictures,2013,97542952
2020,Cannon Films,2009,20455276
2021,International Production Company,2006,7314027
2022,Michael London Productions,1987,19300000
2023,American Filmworks,2006,9500000
2024,Jerry Bruckheimer Films,2006,86915017
2025,Nexus Factory,1981,2000000
2026,Universal Pictures,2003,1569918
2027,Twentieth Century Fox Film Corporation,2014,3758328
2028,StudioCanal,2006,374743
2029,River Road Entertainment,1977,8720000
2030,Twentieth Century Fox Film Corporation,2012,9627492
2031,Columbia Pictures Corporation,2006,2281089
2032,Ecosse Films,1987,43848069
2033,Morgan Creek Productions,1995,135000000
2034,DreamWorks SKG,2007,37311672
2035,Touchstone Pictures,2007,13620075
2036,New Line Cinema,2003,16942795
2037,Castle Rock Entertainment,1989,235860116
2038,Twentieth Century Fox Film Corporation,1994,247275374
2039,DreamWorks SKG,1989,92823546
2040,France 3 Cinma,1982,53977250
2041,Rogue Pictures,2000,119754278
2042,Scott Rudin Productions,2011,133432856
2043,Focus Features,2009,76514050
2044,Columbia Pictures,2012,68263166
2045,Vertigo Entertainment,2016,6490401
2046,Columbia Pictures,2001,29381649
2047,Stone Group Pictures,2011,40492759
2048,Universal Pictures,2001,30987695
2049,New Line Cinema,1991,30102717
2050,The Weinstein Company,2007,80573774
2051,Punch 21 Productions,2008,50007546
2052,Dune Entertainment,2008,96408652
2053,Code Entertainment,2000,20627372
2054,Weintraub Entertainment Group,2009,31556061
2055,TriStar Pictures,2000,15427192
2056,Columbia Pictures,1988,13854000
2057,Cookout Productions,1993,206678440
2058,New Line Cinema,1999,18564088
2059,DavisPanzer Productions,2004,12
2060,DreamWorks SKG,1999,4217115
2061,Quincy JonesDavid Salzman Entertainment,1986,5900000
2062,Kingsgate Films,2007,2849142
2063,Cloud Eight Films,1997,1686429
2064,MetroGoldwynMayer (MGM),2013,5867686
2065,BIM Distribuzione,2013,24261569
2066,Grand Army Entertainment,2004,14822346
2067,The Javelina Film Company,2009,754249
2068,Sidney Kimmel Entertainment,2009,47801389
2069,Paramount Pictures,2014,3442853
2070,Twentieth Century Fox Film Corporation,2005,1237615
2071,Columbia Pictures Corporation,1984,316360478
2072,Paramount Pictures,1990,476684675
2073,DreamWorks SKG,1982,177200000
2074,The Weinstein Company,1986,356830601
2075,Universal Pictures,1999,356296601
2076,area japan,2010,414211549
2077,Amblin Entertainment,1988,216614388
2078,Black Bear Pictures,2008,317000
2079,Universal Pictures,1985,146292009
2080,Dune Entertainment,2014,233555708
2081,Universal Pictures,1980,67182787
2082,Warner Bros.,2010,75700498
2083,Paramount Pictures,2013,146497771
2084,BIM Distribuzione,1983,61399552
2085,Geffen Company,2013,151831537
2086,Lions Gate Films,2006,123384128
2087,Hammer Film Productions,1988,73326666
2088,Davis Entertainment,2007,55184721
2089,Universal Pictures,2012,127730736
2090,Universal Pictures,2006,66966987
2091,New Line Cinema,2002,52970014
2092,Walt Disney Pictures,1978,50000000
2093,Front Street Productions,1997,64256513
2094,Universal Pictures,2003,55534455
2095,Dimension Films,2013,42930462
2096,Miramax Films,2015,61548707
2097,Original Film,1998,40283321
2098,EmmettFurla Films,1997,44862187
2099,Universal Pictures,2001,66468332
2100,Working Title Films,2012,48126384
2101,Twentieth Century Fox Film Corporation,2000,35007180
2102,Horizon Pictures (II),2014,123726688
2103,Dimension Films,2000,33771174
2104,Fox Searchlight Pictures,1962,69995385
2105,Rogue Pictures,2009,39421467
2106,26 Films,2014,52501541
2107,Dimension Films,2009,32721635
2108,Act III Communications,2005,47175038
2109,The Weinstein Company,2002,37664855
2110,Bold Films,1987,30857814
2111,Walt Disney Pictures,2007,30226144
2112,Twentieth Century Fox Film Corporation,2011,78054825
2113,DNA Films,2004,29331068
2114,Mandalay Pictures,1998,46905889
2115,Twentieth Century Fox Film Corporation,2007,64238440
2116,40 Acres & A Mule Filmworks,2014,30127963
2117,Dune Entertainment,2005,32645546
2118,Columbia Pictures,2000,27728118
2119,DreamWorks,2009,40105542
2120,Columbia Pictures,1996,24769466
2121,New Line Cinema,2005,85306374
2122,Twentieth Century Fox Film Corporation,1993,23237911
2123,Original Film,1997,43101594
2124,Twentieth Century Fox Film Corporation,2006,21000000
2125,New Line Cinema,2000,38574362
2126,Maguire Entertainment,2006,22165608
2127,Village Roadshow Pictures,2016,20566327
2128,Sidney Kimmel Entertainment,2010,20529194
2129,Irish Dreamtime,1998,17507368
2130,Summit Entertainment,2013,35485608
2131,Universal Pictures,2014,32556119
2132,Plan B Entertainment,2008,42000000
2133,Senator Film Produktion,1984,17080167
2134,National Geographic Entertainment,2012,37930465
2135,DavisPanzer Productions,2014,31554855
2136,Film 4,2007,22730842
2137,Dune Entertainment,2000,15843608
2138,Lawrence Bender Productions,2011,59389433
2139,Arcade Pictures,2009,16633035
2140,Warner Bros.,2001,12000000
2141,New Line Cinema,2012,15608545
2142,Gramercy Pictures,1998,10443316
2143,Paramount Classics,2004,14867514
2144,United Artists,1998,46189568
2145,Plan B Entertainment,2006,10903846
2146,Columbia Pictures Corporation,2002,9237470
2147,Motion Picture Corporation of America,2007,18928871
2148,Blueprint Pictures,2000,9902115
2149,Fox Atomic,2002,8586376
2150,Dune Entertainment,2008,34533783
2151,Participant Media,2008,8762890
2152,Sony Pictures Classics,2009,6405245
2153,Morgan Creek Productions,2012,8138788
2154,The Javelina Film Company,2009,35097815
2155,Silver Pictures,2000,5217498
2156,Columbia Pictures Corporation,2005,12036149
2157,Asymmetrical Productions,2005,15785148
2158,Fox Searchlight Pictures,1999,4152230
2159,Lietuvos Kinostudija,2001,20117339
2160,Celluloid Dreams,2010,9455232
2161,Miramax Films,2008,5926410
2162,Path Pictures International,2007,7938872
2163,Newmarket Capital Group,1995,529766
2164,Lions Gate Films,2010,6814789
2165,Destination Films,1996,76382
2166,Triggerfish Animation,2008,3533227
2167,Warner Bros.,2007,20380
2168,Bazmark Films,2013,27187375
2169,Malpaso Productions,1993,70906973
2170,Fox Searchlight Pictures,2015,122513057
2171,Paramount Pictures,1996,147298761
2172,Touchstone Pictures,1992,159157447
2173,Universal Pictures,2008,377910544
2174,Walt Disney,1987,320145693
2175,Lionsgate,1990,463000000
